"month","category","revenue"
"2017-08-01 00:00:00+07","automotivo","23413.74"
"2017-08-01 00:00:00+07","bebes","22905.19"
"2017-08-01 00:00:00+07","bebidas","148.77"
"2017-08-01 00:00:00+07","beleza_saude","56191.40"
"2017-08-01 00:00:00+07","brinquedos","21140.42"
"2017-08-01 00:00:00+07","cama_mesa_banho","66212.90"
"2017-08-01 00:00:00+07","casa_conforto","4536.12"
"2017-08-01 00:00:00+07","casa_conforto_2","69.91"
"2017-08-01 00:00:00+07","casa_construcao","141.43"
"2017-08-01 00:00:00+07","cds_dvds_musicais","177.16"
"2017-08-01 00:00:00+07","climatizacao","4563.49"
"2017-08-01 00:00:00+07","consoles_games","10402.29"
"2017-08-01 00:00:00+07","construcao_ferramentas_construcao","1394.33"
"2017-08-01 00:00:00+07","construcao_ferramentas_iluminacao","670.98"
"2017-08-01 00:00:00+07","construcao_ferramentas_jardim","1483.00"
"2017-08-01 00:00:00+07","construcao_ferramentas_seguranca","24.69"
"2017-08-01 00:00:00+07","cool_stuff","44799.62"
"2017-08-01 00:00:00+07","dvds_blu_ray","231.83"
"2017-08-01 00:00:00+07","eletrodomesticos","5548.78"
"2017-08-01 00:00:00+07","eletrodomesticos_2","4355.28"
"2017-08-01 00:00:00+07","eletronicos","3765.86"
"2017-08-01 00:00:00+07","eletroportateis","4838.18"
"2017-08-01 00:00:00+07","esporte_lazer","49495.35"
"2017-08-01 00:00:00+07","fashion_bolsas_e_acessorios","8041.89"
"2017-08-01 00:00:00+07","fashion_calcados","1856.37"
"2017-08-01 00:00:00+07","fashion_esporte","389.44"
